Gender,Religion_ID,Marital_Status,Designation_ID,Status,Employment_Type,Designation,Year_of_Birth,Joined_Date,Joined_Month,Joined_Year,Inactive_Day,Inactive_Month,Inactive_Year,Employment_Category_Labour,Employment_Category_Management,Employment_Category_Staff
1,1,1,107,1,0,Social Environment Officer,1962,6,3,2020,,,,0,0,1
1,1,0,8,1,0,Quantity Surveyor,1988,16,3,2020,,,,0,0,1
1,1,1,8,0,0,Quantity Surveyor,1988,12,2,2020,21.0,9.0,2020.0,0,0,1
1,1,0,7,1,0,Store Keeper,1987,11,5,2020,,,,0,0,1
1,1,0,27,0,0,Supervisor,1995,1,4,2018,31.0,12.0,2020.0,0,0,1
1,1,1,120,0,0,HR Manager,1956,18,5,2020,8.0,10.0,2020.0,0,1,0
1,1,1,29,0,0,Cook,1983,1,1,2019,24.0,9.0,2020.0,1,0,0
1,1,1,1,0,0,Skilled Labor,1983,8,10,2019,17.0,6.0,2020.0,1,0,0
1,1,1,1,0,0,Skilled Labor,1984,1,2,2021,29.0,4.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1971,8,10,2019,11.0,3.0,2020.0,1,0,0
1,1,1,31,1,0,Unskilled Labor,1997,1,2,2021,,,,1,0,0
1,1,1,31,0,0,Unskilled Labor,1983,25,10,2019,10.0,6.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1983,8,12,2020,29.0,4.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1983,1,2,2021,31.0,3.0,2021.0,1,0,0
1,1,1,53,0,0,Pipe Fitter,1983,22,11,2019,15.0,3.0,2020.0,1,0,0
1,1,1,22,0,0,Technical Officer,1985,3,6,2019,10.0,4.0,2021.0,0,0,1
1,5,0,31,0,0,Unskilled Labor,2003,14,2,2020,17.0,3.0,2020.0,1,0,0
1,1,0,128,0,0,Construction Supervisor,1996,23,9,2019,6.0,11.0,2021.0,0,0,1
1,1,1,31,0,0,Unskilled Labor,1997,1,8,2019,24.0,4.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1996,1,8,2019,30.0,5.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1968,14,10,2019,15.0,3.0,2020.0,1,0,0
1,1,1,31,1,0,Unskilled Labor,1985,1,2,2021,,,,1,0,0
1,1,1,32,0,0,OPE-Compresure Breaker,1959,16,7,2010,27.0,6.0,2020.0,0,0,1
1,1,1,31,0,0,Unskilled Labor,1992,1,6,2020,19.0,2.0,2021.0,1,0,0
1,1,1,1,0,0,Skilled Labor,1996,1,6,2020,27.0,7.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1969,15,10,2019,23.0,6.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1997,7,10,2019,31.0,12.0,2020.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,1995,10,10,2019,30.0,12.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1996,1,11,2019,15.0,3.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1983,1,6,2020,12.0,3.0,2022.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1985,1,6,2020,23.0,7.0,2021.0,1,0,0
1,1,1,1,0,0,Skilled Labor,1980,4,1,2020,28.0,2.0,2022.0,1,0,0
1,1,1,1,0,0,Skilled Labor,1971,4,1,2020,15.0,3.0,2020.0,1,0,0
1,1,1,1,0,0,Skilled Labor,1988,16,1,2020,29.0,3.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1977,9,1,2020,12.0,3.0,2020.0,1,0,0
1,1,1,37,0,0,Driver-Tractor,1974,1,12,2018,15.0,3.0,2021.0,0,0,1
1,1,1,31,0,0,Unskilled Labor,1988,25,2,2020,15.0,3.0,2020.0,1,0,0
1,1,1,31,1,0,Unskilled Labor,1969,25,2,2020,,,,1,0,0
1,1,1,1,0,0,Skilled Labor,1974,18,2,2020,30.0,4.0,2020.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,2003,19,2,2020,6.0,3.0,2020.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,1999,4,3,2020,31.0,7.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1983,22,11,2019,30.0,6.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1983,1,2,2021,13.0,2.0,2021.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1983,22,11,2019,31.0,12.0,2019.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1983,22,11,2019,10.0,6.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1983,22,11,2019,30.0,6.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1957,11,11,2019,31.0,12.0,2019.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,2001,7,12,2019,17.0,6.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1972,2,12,2019,31.0,12.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1968,7,3,2020,17.0,3.0,2020.0,1,0,0
1,3,0,30,0,0,Semi Skilled Labor,1994,28,2,2020,3.0,6.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1960,5,3,2020,20.0,12.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1982,12,3,2020,29.0,9.0,2020.0,1,0,0
1,1,1,1,0,0,Skilled Labor,1976,1,1,2019,31.0,12.0,2019.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,2000,12,3,2020,17.0,3.0,2020.0,1,0,0
1,3,0,122,0,0,Security,1992,20,3,2020,26.0,10.0,2021.0,1,0,0
1,3,0,122,0,0,Security,2000,20,3,2020,30.0,4.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1964,23,2,2020,23.0,6.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1976,16,2,2020,15.0,3.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1973,25,2,2020,16.0,3.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1983,7,12,2020,21.0,6.0,2021.0,1,0,0
1,1,0,31,0,0,Unskilled Labor,1998,16,3,2020,6.0,1.0,2021.0,1,0,0
1,1,1,1,0,0,Skilled Labor,1979,2,12,2019,29.0,9.0,2020.0,1,0,0
1,1,1,31,0,0,Unskilled Labor,1969,23,1,2020,27.0,2.0,2021.0,1,0,0
1,1,0,80,0,0,Driver - cab,1998,19,2,2020,21.0,3.0,2020.0,0,0,1
0,1,0,125,0,0,Data Colector,1993,13,2,2020,19.0,12.0,2020.0,0,0,1
